dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,LapNumber
0.0,3.149081,0.0,1.7062787,5.4440713,0.81131434,1.6639324,4.0205173,2.2269926,4.3812976,0.0,2.1945233,2.9552958,0.0,0.0,0.0,0.0,0.0,0.0,4.796521,1.0708541,2.5944924,2.2013154,3.8285682,0.0,0.0,0.0,0.0,3.8032467,3.9907658,4.689688,0.04031372,ALO,33.0
0.0,2.931142,0.0,1.6302929,5.18942,0.7083837,1.6263666,3.8288004,2.088832,4.1735144,0.0,2.0885718,2.8341136,0.0,0.0,0.0,0.0,0.0,0.0,4.489929,1.0570741,2.4229004,2.0781164,3.6520956,0.0,0.0,0.0,0.0,3.571024,3.814349,4.4387355,0.081512965,ALO,34.0
0.0,2.9605026,0.0,1.7085443,5.1690216,0.63636285,1.7459024,3.952275,1.9757884,4.1562743,0.0,1.9145721,3.0461442,0.0,0.0,0.0,0.0,0.0,0.0,4.7134266,1.0581384,2.697355,1.901883,4.07132,0.0,0.0,0.0,0.0,3.831124,3.7847757,4.7559824,0.0026928924,ALO,36.0
0.0,2.6263185,0.0,1.515848,4.693918,0.66752315,1.7668314,3.7682354,2.2058792,3.7227046,0.0,2.4634774,2.4831183,0.0,0.27444342,0.0,0.0,0.15461281,0.0,3.9371297,0.98990184,2.0539947,2.0519638,3.1613345,0.0,0.0,0.09092048,0.0,3.175427,3.7101274,3.9023216,0.34929338,ALO,37.0
0.0,2.7517555,0.0,1.691664,4.839397,0.6914781,1.684182,3.7655153,2.3805676,3.8708522,0.061587214,2.512855,2.4221697,0.0,0.237764,0.0,0.0,0.034944583,0.0,4.161248,1.1676741,2.209153,2.2304626,3.2885454,0.0,0.0,0.08240322,0.0,3.3416035,3.7920532,4.01618,0.4396882,ALO,38.0
0.0,2.944682,0.0,1.5914211,5.09566,0.71730804,1.7336287,3.905747,2.0030112,4.078946,0.0,2.0849512,2.9268138,0.0,0.0,0.0,0.0,0.0,0.0,4.528821,0.94607157,2.506401,2.0800095,3.6572516,0.0,0.0,0.0,0.0,3.5907218,3.7438803,4.456104,0.0,ALO,39.0
0.0,2.884953,0.0,1.8355665,5.1494346,0.51757854,1.8531313,3.9710548,1.968282,4.1442537,0.0,1.9797128,3.0847442,0.0,0.0,0.0,0.0,0.0,0.0,4.7016315,1.1947476,2.7486694,2.1263845,4.0293694,0.0,0.0,0.0,0.0,3.8094623,3.7486434,4.726605,0.06470268,ALO,40.0
0.0,2.8385293,0.0,1.7487578,5.1081767,0.5959689,1.6517125,3.7882833,1.8697453,4.1170845,0.0,1.7819643,3.0235112,0.0,0.0,0.0,0.0,0.0,0.0,4.60841,1.0650449,2.6423407,1.9155294,3.9721525,0.0,0.0,0.0,0.0,3.7300057,3.6417632,4.6805544,0.0049998653,ALO,42.0
0.0,3.0822513,0.0,1.7417006,5.278075,0.7238661,1.691157,3.9842627,2.1822104,4.2463565,0.0,2.1464856,2.917279,0.0,0.0,0.0,0.0,0.0,0.0,4.8088093,1.094632,2.6818275,2.0850391,3.9117854,0.0,0.0,0.0,0.0,3.836754,3.9051695,4.7076464,0.062949724,ALO,43.0
0.0,2.9422543,0.0,1.4683166,5.0632267,0.8524519,1.5885252,3.7885764,2.279152,4.037958,0.0,2.4185488,2.528849,0.0,0.0,0.0,0.0,0.0,0.0,4.2533255,0.9445066,2.1489177,2.2284124,3.1729126,0.0,0.0,0.0,0.0,3.3281226,3.8298023,4.053931,0.17293859,ALO,44.0
